synthetic,variant,policy,quote_position,fills,contract_share,net_c
True,recenter_always,B,behind,1,0.00422299,-1.50754
True,recenter_always,B,improve,26,0.17083,6.16149
True,recenter_always,B,touch,116,0.824947,3.24639
True,recenter_always,C,behind,3,0.0120879,38.7273
True,recenter_always,C,improve,21,0.138462,0.142857
True,recenter_always,C,touch,117,0.849451,3.1436
True,config,B,behind,3,0.026055,22.769
True,config,B,improve,22,0.155374,7.8042
True,config,B,touch,113,0.818571,2.24853
True,config,C,behind,5,0.0483676,25.1
True,config,C,improve,19,0.129383,-0.205607
True,config,C,touch,105,0.822249,1.91176
True,hysteresis_strong,B,behind,3,0.0349016,51
True,hysteresis_strong,B,improve,32,0.21988,2.2328
True,hysteresis_strong,B,touch,96,0.745218,2.63832
True,hysteresis_strong,C,behind,4,0.0519481,23.1
True,hysteresis_strong,C,improve,29,0.214286,1.78182
True,hysteresis_strong,C,touch,86,0.733766,2.01062
True,age_only_5s,B,behind,2,0.0137181,33.8898
True,age_only_5s,B,improve,14,0.0916065,11.5
True,age_only_5s,B,touch,118,0.894675,3.61184
True,age_only_5s,C,behind,2,0.0123457,40.8
True,age_only_5s,C,improve,15,0.101235,6.43902
True,age_only_5s,C,touch,111,0.88642,3.09192
True,join_only,B,behind,2,0.0178914,1.57368
True,join_only,B,improve,6,0.035834,5.78571
True,join_only,B,touch,113,0.946275,2.51826
True,join_only,C,behind,4,0.0395257,16
True,join_only,C,improve,6,0.0368906,5.78571
True,join_only,C,touch,106,0.923584,2.61912
True,improve_x2,B,behind,3,0.0273938,22.769
True,improve_x2,B,improve,35,0.239896,-1.90476
True,improve_x2,B,touch,96,0.73271,1.75242
True,improve_x2,C,behind,5,0.0473373,25.1
True,improve_x2,C,improve,28,0.207101,-3.56571
True,improve_x2,C,touch,98,0.745562,2.72698
True,touch_only,B,behind,7,0.0626697,3.3
True,touch_only,B,improve,24,0.149363,5.37063
True,touch_only,B,touch,114,0.787967,1.10817
True,touch_only,C,behind,6,0.0702576,3.3
True,touch_only,C,improve,18,0.133489,-1.87719
True,touch_only,C,touch,109,0.796253,2.25882
True,wide_ladder,B,behind,1,0.00414825,-1.50754
True,wide_ladder,B,improve,26,0.158426,11.3026
True,wide_ladder,B,touch,120,0.837426,2.39962
True,wide_ladder,C,behind,2,0.0133482,2
True,wide_ladder,C,improve,27,0.183537,4.33939
True,wide_ladder,C,touch,112,0.803115,2.72299
